Firm,Exchange,Ticker,Publish_Date,Publish_Date_Open,Publish_Date_Close,Next_Day_Open,Next_Day_Close,One_Week_Open,One_Week_Close,One_Month_Open,One_Month_Close,Three_Month_Open,Three_Month_Close,Six_Month_Open,Six_Month_Close
Blue Orca,TSX,AYA,09/25/2025,15.5,12.93,13.3,14.65,17.31,16.67,None,None,None,None,None,None
Blue Orca,NASDAQ,NUTX,07/22/2025,110.92,100.01,99.83,92.9,90.27,85.41,91.62,96.18,None,None,None,None
Blue Orca,NASDAQ,HSAI,03/18/2025,22.78,20.56,20.16,20.75,18.5,18.39,11.13,10.95,20.55,19.13,29.64,29.8
Blue Orca,NYSE,TDOC,02/19/2025,13.0,13.77,13.57,12.69,11.24,10.99,8.01,8.41,7.31,7.34,7.58,7.49
Blue Orca,NASDAQ,BWIN,10/30/2024,50.39,47.19,46.64,46.26,42.53,44.72,49.03,48.96,41.91,41.38,42.21,42.23
Blue Orca,NYSE,SUI,09/25/2024,129.35,128.07,128.16,126.34,124.29,124.9,130.13,125.59,115.8,117.55,123.85,123.23
Blue Orca,NYSE,DAY,04/04/2024,64.2,64.21,64.21,61.04,62.34,62.77,57.8,58.17,50.89,51.26,61.1,60.8
Blue Orca,NASDAQ,FLNC,02/22/2024,17.08,14.73,16.61,14.41,15.82,15.29,15.7,15.9,19.09,20.04,17.92,17.67
Blue Orca,NYSE,FMC,09/07/2023,73.18,68.63,68.97,68.05,68.66,68.19,57.15,57.64,49.33,50.23,53.87,54.83
Blue Orca,NYSE,FOUR,04/19/2023,67.9,62.59,63.35,65.76,64.03,62.66,65.53,65.23,68.27,68.87,51.12,52.02
Blue Orca,NASDAQ,PLL,03/08/2023,55.0,59.53,59.53,56.71,55.0,53.14,50.8,51.98,61.18,63.65,44.89,46.09
Blue Orca,NYSE,STEM,01/11/2023,168.2,181.6,183.6,182.8,209.6,205.6,189.2,183.8,101.8,104.8,121.0,125.6
Blue Orca,NYSE,EVA,10/12/2022,54.64,51.23,50.33,52.05,55.24,53.52,58.92,60.4,46.52,46.24,24.68,24.51
Blue Orca,NYSE,MNSO,07/26/2022,6.38,5.59,5.7,5.16,5.15,5.43,5.92,6.32,4.42,4.68,14.12,14.16
